Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Canada,2010,1740814.0,1666048.0,1666048.0,1558298.2,1625807.8,116.5,148.2,36800.0,33814.6,2985.3,0.3617026396421626,34004889.0,51193.05050517883,48994.366662981905,48994.366662981905,45825.710532388446,47811.00152980944
Canada,2011,1795582.0,1774063.0,1774063.0,1661609.2,1678548.5,119.9,177.8,37149.4,34343.4,2805.9999999999995,0.34273761884576426,34339328.0,52289.37502795628,51662.71745329437,51662.71745329437,48387.93583846486,48881.227378707
Canada,2012,1827201.0,1827201.0,1827201.0,1709695.5,1709692.7,121.7,182.3,37474.90000000001,34725.8,2749.0,0.33610886267190304,34714222.0,52635.51635983661,52635.51635983661,52635.51635983661,49250.57804838605,49250.49738980179
Canada,2013,1869759.0,1902247.0,1902247.0,1781206.6999999997,1753295.5,122.8,183.4,37865.200000000004,35170.2,2695.0,0.32620988921454847,35082954.0,53295.369597440396,54221.403363012134,54221.403363012134,50771.28624915678,49975.70900101514
Canada,2014,1923422.0,1994898.0,1994898.0,1867032.0999999996,1803539.5,125.2,183.8,37995.0,35354.3,2640.7,0.31843143962168274,35437435.0,54276.558108678015,56293.52124384849,56293.52124384849,52685.30580726285,50893.624214054995
Canada,2015,1936100.0,1990441.0,1990441.0,1856117.9999999998,1818029.0999999999,126.6,153.4,38241.4,35588.0,2653.4,0.3164704514929509,35702908.0,54228.075763464425,55750.1086466122,55750.1086466122,51987.866086426344,50921.037020289776
Canada,2016,1955488.0,2025535.0,2025535.0,1885385.2,1835713.7000000002,128.4,144.2,38540.6,35823.2,2717.3999999999996,0.32089855886458274,36109487.0,54154.41100007873,56094.26132251616,56094.26132251616,52213.0153773716,50837.43504857879
Canada,2017,2014933.0,2140641.0,2140641.0,1990785.7000000002,1892927.0000000002,130.4,161.2,39060.5,36562.2,2498.3999999999996,0.29050232488774524,36545295.0,55135.22328934546,58575.009450600955,58575.009450600955,54474.47338980299,51796.7360777906
Canada,2018,2063887.0,2231168.0,2231168.0,0.0,1939805.9,133.4,181.5,39464.0,37136.1,2328.0,0.2701644916093099,37065178.0,55682.64099527594,60195.798870843144,60195.798870843144,0.0,52334.994856897756
Canada,2019,2102304.0,2310712.0,2310712.0,0.0,1973169.5,136.0,170.5,40279.5,37971.200000000004,2308.4,0.26564450552670754,37593384.0,55922.1803496062,61465.92176963904,61465.92176963904,0.0,52487.14773854888
Newfoundland and Labrador,2010,32639.0,29107.0,29107.0,27183.0,30474.4,117.4,142.5,522.0,444.1,78.0,0.6666505570621148,522009.0,62525.74189333901,55759.57502648421,55759.57502648421,52073.81481928473,58379.07009266124
Newfoundland and Labrador,2011,33531.0,33562.0,33562.0,31614.0,31375.5,121.4,166.1,530.1,462.0,68.1,0.5877110112756143,524999.0,63868.69308322492,63927.74081474441,63927.74081474441,60217.257556681056,59762.97097708758
Newfoundland and Labrador,2012,32064.0,32063.0,32063.0,29977.1,29977.2,123.9,171.2,545.6999999999999,477.4,68.4,0.5681863121274167,526345.0,60918.21903884334,60916.319144287496,60916.319144287496,56953.32909023549,56953.51907969108
Newfoundland and Labrador,2013,33748.0,34491.0,34491.0,32403.8,31486.3,126.0,169.0,546.2,480.90000000000003,65.1,0.5325272758266909,527114.0,64024.10104835007,65433.66330622977,65433.66330622977,61473.988548966634,59733.37835838168
Newfoundland and Labrador,2014,33355.0,34301.0,34301.0,32136.7,31143.3,128.4,170.5,542.9,476.3,66.30000000000001,0.538549584978872,528159.0,63153.33072048379,64944.4580135906,64944.4580135906,60846.6389856085,58965.76599092319
Newfoundland and Labrador,2015,32965.0,31161.0,31161.0,28924.4,30806.0,129.0,143.1,544.6,473.19999999999993,71.4,0.5727824691008365,528117.0,62419.880443159374,59003.970711035625,59003.970711035625,54768.924310332746,58331.771179492425
Newfoundland and Labrador,2016,33461.0,31519.0,31519.0,29005.2,31282.0,132.5,149.2,538.6,463.09999999999997,75.4,0.6037446961392275,529426.0,63202.41166848625,59534.288078031685,59534.288078031685,54786.12686192216,59086.633448300614
Newfoundland and Labrador,2017,33953.0,33690.0,33690.0,31002.6,31674.0,135.7,162.9,525.3,446.2,79.2,0.6486063026897857,528249.0,64274.61291928617,63776.74165024448,63776.74165024448,58689.368082097644,59960.359603141704
Newfoundland and Labrador,2018,32763.0,33961.0,33961.0,0.0,30568.6,137.9,166.5,522.6,448.8,73.8,0.6208416672483412,525560.0,62339.219118654386,64618.69244234721,64618.69244234721,0.0,58163.86330770987
Newfoundland and Labrador,2019,34075.0,35349.0,35349.0,0.0,31802.5,139.3,159.1,517.6,454.0,63.6,0.5576380437806795,523476.0,65093.71967387234,67527.45111523737,67527.45111523737,0.0,60752.54643956934
Prince Edward Island,2010,5412.0,5231.0,5231.0,4762.2,4948.2,119.5,150.3,156.6,138.6,18.0,0.4960666674857506,141654.0,38205.76898640349,36928.007680686744,36928.007680686744,33618.53530433309,34931.59388368842
Prince Edward Island,2011,5527.0,5432.0,5432.0,4941.8,5043.5,123.0,176.8,161.4,143.29999999999998,18.099999999999998,0.47650130066867247,143963.0,38391.80900648083,37731.91722873238,37731.91722873238,34326.875655550386,35033.3071692032
Prince Edward Island,2012,5586.0,5586.0,5586.0,5090.7,5090.7,125.5,184.3,163.6,145.0,18.5,0.5068853104082045,144530.0,38649.41534629489,38649.41534629489,38649.41534629489,35222.445167093334,35222.445167093334
Prince Edward Island,2013,5684.0,5766.0,5766.0,5257.0,5187.4,128.0,192.2,165.90000000000003,146.5,19.400000000000002,0.5186201502266734,144094.0,39446.47244160062,40015.54540785876,40015.54540785876,36483.12906852471,36000.11103862756
Prince Edward Island,2014,5690.0,5858.0,5858.0,5332.0,5205.6,130.1,195.2,163.2,145.8,17.5,0.48750019461879046,144283.0,39436.385436953766,40600.763776744316,40600.763776744316,36955.15064144771,36079.09455722435
Prince Edward Island,2015,5770.0,6088.0,6088.0,5551.8,5280.7,129.3,157.5,161.4,144.2,17.0,0.4642326603931955,144546.0,39918.08835941499,42118.08005755953,42118.08005755953,38408.53430741771,36533.006793685054
Prince Edward Island,2016,5894.0,6376.0,6376.0,5803.4,5393.8,130.8,147.1,159.40000000000003,142.2,17.4,0.48150216609474783,146969.0,40103.69533711191,43383.298518735246,43383.298518735246,39487.23880546237,36700.25651668038
Prince Edward Island,2017,6170.0,6790.0,6790.0,6156.5,5635.9,133.2,162.0,163.29999999999998,147.20000000000002,16.2,0.4271113529776825,150402.0,41023.39064640098,45145.67625430513,45145.67625430513,40933.63120171274,37472.24106062419
Prince Edward Island,2018,6324.0,7033.0,7033.0,0.0,5783.1,136.3,180.4,169.40000000000003,153.2,16.099999999999998,0.4128934097599768,153396.0,41226.629116795746,45848.65315914365,45848.65315914365,0.0,37700.46155049676
Prince Edward Island,2019,6644.0,7523.0,7523.0,0.0,6076.8,137.9,170.9,173.6,158.4,15.2,0.37383837851878365,157262.0,42247.968358535436,47837.366941791406,47837.366941791406,0.0,38641.24836260508
Nova Scotia,2010,38052.0,36921.0,36921.0,33591.0,34697.1,118.2,143.4,995.3,899.6,95.7,0.41388261721774683,942107.0,40390.316598857666,39189.81601877494,39189.81601877494,35655.185663624194,36829.256124835076
Nova Scotia,2011,38303.0,37731.0,37731.0,34263.0,34805.2,122.7,169.4,992.4,901.9000000000001,90.6,0.4132509463656623,944274.0,40563.43815460343,39957.68177456967,39957.68177456967,36285.01896695239,36859.21671040397
Nova Scotia,2012,37933.0,37933.0,37933.0,34477.9,34477.9,125.1,176.8,999.9,908.2,91.8,0.42438330236713845,943635.0,40198.80568228181,40198.80568228181,40198.80568228181,36537.32640268748,36537.32640268748
Nova Scotia,2013,37806.0,38725.0,38725.0,35123.6,34383.8,126.6,176.6,987.6,898.0,89.6,0.4183266093768151,940434.0,40200.58823904708,41177.7966343199,41177.7966343199,37348.288130799185,36561.630055910355
Nova Scotia,2014,38173.0,39838.0,39838.0,36258.3,34747.2,128.8,176.9,971.6,884.8,86.80000000000001,0.4141187600294748,938545.0,40672.530352833375,42446.552909024074,42446.552909024074,38632.45768716471,37022.41235103271
Nova Scotia,2015,38429.0,40701.0,40701.0,37028.1,35013.4,129.3,143.1,962.6,878.6999999999999,84.0,0.39477006324421393,936525.0,41033.60828595072,43459.59798190118,43459.59798190118,39537.759269640424,37386.50863564774
Nova Scotia,2016,39038.0,41599.0,41599.0,37795.5,35489.1,130.9,134.1,959.3,878.5999999999999,80.7,0.378206460608991,942790.0,41406.888066271385,44123.29362848567,44123.29362848567,40088.991185735955,37642.63515735211
Nova Scotia,2017,39757.0,43314.0,43314.0,39329.1,36213.8,132.4,146.7,967.5999999999999,884.8,82.8,0.3976184466909647,950108.0,41844.71660063908,45588.501517722194,45588.501517722194,41394.34674794865,38115.456348120424
Nova Scotia,2018,40496.0,44877.0,44877.0,0.0,36899.5,135.3,160.4,976.2,901.4,74.80000000000001,0.3593537451766228,958406.0,42253.49173523538,46824.62338507897,46824.62338507897,0.0,38500.90671385614
Nova Scotia,2019,41453.0,46586.0,46586.0,0.0,37808.1,137.5,153.9,996.0,922.4000000000001,73.4,0.33455228366462025,969747.0,42746.200813201795,48039.333970612955,48039.333970612955,0.0,38987.591608945426
