Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Canada,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2011,0.0314611440395125,0.06483306603411187,0.06483306603411187,0.0662973235803006,0.03243968936549568,0.029184549356223277,0.19973009446693668,0.009494565217391449,0.01563821544539934,-0.0600609653971127,-0.05243263033734202,0.009835026957447202,0.021415495110348015,0.05446239990542745,0.05446239990542745,0.0559123966941113,0.022384510147320347
Canada,2012,0.017609332238794906,0.029952713065996006,0.029952713065996006,0.02893959662717327,0.018554244932452058,0.015012510425354453,0.0253093363329584,0.008761918092889953,0.011134599369893472,-0.020313613684960652,-0.019340614538272294,0.0109173365302897,0.006619725932759168,0.018829805215370365,0.018829805215370365,0.01782762986214137,0.007554434102766683
Canada,2013,0.023291362034062013,0.041071562460834876,0.041071562460834876,0.04182686332156793,0.025503296586573798,0.009038619556285932,0.0060340098738342896,0.010414971087314262,0.012797401355764126,-0.01964350672971993,-0.029451688297245537,0.010621928960412808,0.012536273665347375,0.03012959903981538,0.03012959903981538,0.03087696146990826,0.014724960145549915
Canada,2014,0.028700490277089097,0.048706082858850586,0.048706082858850586,0.04818385199202302,0.02865689212115119,0.019543973941368087,0.0021810250817884125,0.003427949674106978,0.005234545154704895,-0.020148423005565963,-0.023844922701744986,0.010104080745310107,0.018410389470021382,0.03821586591854764,0.03821586591854764,0.03769885893205749,0.018367227426852706
Canada,2015,0.006591377243267527,-0.002234199442778473,-0.002234199442778473,-0.0058456948865527325,0.00803397984906895,0.011182108626198062,-0.1653971708378673,0.006485063824187343,0.006610228458773015,0.004809330859242067,-0.0061582742302758176,0.007491315327985859,-0.0008932464935693663,-0.009653199608572582,-0.009653199608572582,-0.013237841370569825,0.0005386294778200185
Canada,2016,0.010013945560663151,0.017631268648505616,0.017631268648505616,0.015767963028212817,0.009727347048515522,0.014218009478673022,-0.05997392438070415,0.007823981339595276,0.006608969315499591,0.024119996985000114,0.013992166885540946,0.0113878398924816,-0.0013584248076035088,0.006173130138372951,0.006173130138372951,0.004330804626044182,-0.0016417963302215455
Canada,2017,0.030399061513034065,0.05682745546238399,0.05682745546238399,0.05590396063361491,0.031166788154383784,0.015576323987538832,0.11789181692094308,0.013489670633046735,0.020629089528573674,-0.08059174210642528,-0.09472225143168844,0.01206907204192631,0.018111401659696602,0.044224633137098124,0.044224633137098124,0.043312151119536235,0.018869973048308397
Canada,2018,0.024295596925555385,0.04228966930933309,0.04228966930933309,-1.0,0.024765297341101666,0.02300613496932513,0.12593052109181158,0.010330128902599878,0.015696539048525526,-0.068203650336215,-0.07000919282244722,0.014225716333662097,0.009928638595652073,0.02767032281247994,0.02767032281247994,-1.0,0.010391750906828978
Canada,2019,0.018613906672215963,0.035651282198382095,0.035651282198382095,,0.017199452790611636,0.019490254872563728,-0.06060606060606055,0.02066440300020278,0.022487552543212885,-0.008419243986254266,-0.016730496504843373,0.014250734206645355,0.004301867692492856,0.021099859502173635,0.021099859502173635,,0.0029072876011007054
Newfoundland and Labrador,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2011,0.02732926866631935,0.15305596591885107,0.15305596591885107,0.16300629069639117,0.029569080933504743,0.03407155025553665,0.16561403508771932,0.01551724137931032,0.04030623733393379,-0.12692307692307703,-0.11841218003984266,0.005727870592269424,0.021478372734494267,0.14648902514735007,0.14648902514735007,0.15638268034821468,0.02370542871323167
Newfoundland and Labrador,2012,-0.043750559184038695,-0.04466360765151067,-0.04466360765151067,-0.05177769342696281,-0.04456662045226367,0.020593080724876422,0.030704394942805413,0.029428409734012284,0.033333333333333215,0.004405286343612591,-0.03322159832571403,0.0025638144072654967,-0.04619593578558012,-0.047106649352488206,-0.047106649352488206,-0.054202542574664836,-0.04700991017453948
Newfoundland and Labrador,2013,0.05251996007984028,0.07572591460562017,0.07572591460562017,0.0809517932021444,0.05034159294397078,0.016949152542372836,-0.012850467289719614,0.0009162543522083233,0.00733137829912045,-0.04824561403508787,-0.06275940750351827,0.001461018913450296,0.050984451917846174,0.0741565515677729,0.0741565515677729,0.07937480619559079,0.04880926277445519
Newfoundland and Labrador,2014,-0.011645134526490408,-0.005508683424661487,-0.005508683424661487,-0.008242860405261121,-0.01089362675195249,0.019047619047619202,0.008875739644970349,-0.0060417429513,-0.009565398211686449,0.01843317972350267,0.01130892148732121,0.0019824933505845355,-0.013600664649843108,-0.007476354951268527,-0.007476354951268527,-0.0102051221690036,-0.012850643786679106
