"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Current dollars","Chained (2012) dollars 9"
"",,,"Dollars",
"Newfoundland and Labrador","All industries  [T001] 10","2010","27,183.0","30,474.4"
,,"2011","31,614.0","31,375.5"
,,"2012","29,977.1","29,977.2"
,,"2013","32,403.8","31,486.3"
,,"2014","32,136.7","31,143.3"
,,"2015","28,924.4","30,806.0"
,,"2016","29,005.2","31,282.0"
,,"2017","31,002.6","31,674.0"
,,"2018","..","30,568.6"
,,"2019","..","31,802.5"
,"Goods-producing industries  [T002] 11","2010","13,734.1","16,048.3"
,,"2011","17,166.2","16,447.7"
,,"2012","14,709.0","14,709.0"
,,"2013","16,611.3","16,022.7"
,,"2014","15,821.7","15,384.9"
,,"2015","12,125.7","14,913.2"
,,"2016","11,866.6","15,333.4"
,,"2017","13,601.8","15,635.7"
,,"2018","..","14,359.9"
,,"2019","..","15,497.6"
,"Service-producing industries  [T003] 12","2010","13,449.0","14,415.4"
,,"2011","14,447.8","14,917.0"
,,"2012","15,268.1","15,268.1"
,,"2013","15,792.5","15,482.4"
,,"2014","16,315.1","15,767.0"
,,"2015","16,798.7","15,875.5"
,,"2016","17,138.6","15,977.6"
,,"2017","17,400.8","16,092.1"
,,"2018","..","16,142.7"
,,"2019","..","16,310.5"
,"Industrial production  [T010] 13","2010","11,638.6","13,641.8"
,,"2011","14,680.6","13,749.0"
,,"2012","11,542.6","11,542.6"
,,"2013","12,617.8","12,475.0"
,,"2014","11,255.1","11,556.1"
,,"2015","7,302.9","10,876.1"
,,"2016","7,208.1","11,781.5"
,,"2017","9,223.6","12,591.6"
,,"2018","..","12,308.3"
,,"2019","..","13,462.0"
,"Non-durable manufacturing industries  [T011] 14","2010","628.1","611.6"
,,"2011","637.0","578.6"
,,"2012","664.2","664.2"
,,"2013","604.0","625.5"
,,"2014","629.3","570.4"
,,"2015","866.4","568.4"
,,"2016","928.3","557.1"
,,"2017","1,012.1","555.7"
,,"2018","..","523.4"
,,"2019","..","539.9"
,"Durable manufacturing industries  [T012] 15","2010","196.8","191.0"
,,"2011","238.5","219.5"
,,"2012","221.1","221.1"
,,"2013","310.0","258.2"
,,"2014","347.7","292.9"
,,"2015","459.8","362.6"
,,"2016","323.3","245.9"
,,"2017","273.1","213.8"
,,"2018","..","252.0"
,,"2019","..","250.4"
,"Information and communication technology sector  [T013] 16","2010","617.6","684.9"
,,"2011","685.6","735.9"
,,"2012","733.5","733.5"
,,"2013","657.8","699.6"
,,"2014","645.9","709.3"
,,"2015","677.4","751.4"
,,"2016","696.2","786.4"
,,"2017","751.5","821.4"
,,"2018","..","837.2"
,,"2019","..","888.1"
,"Energy sector  [T016] 17","2010","8,363.8","10,695.0"
,,"2011","10,753.5","10,473.7"
,,"2012","8,131.6","8,131.5"
,,"2013","9,244.0","9,028.7"
,,"2014","8,376.6","8,442.8"
,,"2015","4,545.2","7,281.4"
,,"2016","4,461.4","8,561.6"
,,"2017","5,886.4","9,143.2"
,,"2018","..","9,655.9"
,,"2019","..","10,644.5"
,"Public sector  [T018] 18","2010","5,409.7","5,851.9"
,,"2011","5,799.5","5,963.8"
