"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
"Canada","Total, all industries 8","Both sexes","15 years and over","2010","18,400.0 (x 1,000)","16,907.3 (x 1,000)","1,492.7 (x 1,000)","8.1"
,,,,"2011","18,574.7 (x 1,000)","17,171.7 (x 1,000)","1,403.0 (x 1,000)","7.6"
,,,,"2012","18,737.4 (x 1,000)","17,362.9 (x 1,000)","1,374.5 (x 1,000)","7.3"
,,,,"2013","18,932.6 (x 1,000)","17,585.1 (x 1,000)","1,347.5 (x 1,000)","7.1"
,,,,"2014","18,997.5 (x 1,000)","17,677.2 (x 1,000)","1,320.3 (x 1,000)","6.9"
,,,,"2015","19,120.7 (x 1,000)","17,794.0 (x 1,000)","1,326.7 (x 1,000)","6.9"
,,,,"2016","19,270.3 (x 1,000)","17,911.6 (x 1,000)","1,358.7 (x 1,000)","7.1"
,,,,"2017","19,530.3 (x 1,000)","18,281.1 (x 1,000)","1,249.2 (x 1,000)","6.4"
,,,,"2018","19,732.0 (x 1,000)","18,568.0 (x 1,000)","1,164.0 (x 1,000)","5.9"
,,,,"2019","20,139.7 (x 1,000)","18,985.6 (x 1,000)","1,154.2 (x 1,000)","5.7"
,,,,"2020","19,896.6 (x 1,000)","17,999.2 (x 1,000)","1,897.4 (x 1,000)","9.5"
,,,"15 to 24 years","2010","2,895.3 (x 1,000)","2,472.0 (x 1,000)","423.3 (x 1,000)","14.6"
,,,,"2011","2,908.8 (x 1,000)","2,503.2 (x 1,000)","405.6 (x 1,000)","13.9"
,,,,"2012","2,872.0 (x 1,000)","2,466.7 (x 1,000)","405.3 (x 1,000)","14.1"
,,,,"2013","2,873.9 (x 1,000)","2,487.0 (x 1,000)","386.9 (x 1,000)","13.5"
,,,,"2014","2,867.6 (x 1,000)","2,489.7 (x 1,000)","377.9 (x 1,000)","13.2"
,,,,"2015","2,840.0 (x 1,000)","2,473.8 (x 1,000)","366.2 (x 1,000)","12.9"
,,,,"2016","2,794.8 (x 1,000)","2,435.8 (x 1,000)","359.0 (x 1,000)","12.8"
,,,,"2017","2,829.8 (x 1,000)","2,506.1 (x 1,000)","323.7 (x 1,000)","11.4"
,,,,"2018","2,851.0 (x 1,000)","2,541.2 (x 1,000)","309.8 (x 1,000)","10.9"
,,,,"2019","2,910.0 (x 1,000)","2,590.7 (x 1,000)","319.3 (x 1,000)","11.0"
,,,,"2020","2,775.5 (x 1,000)","2,218.1 (x 1,000)","557.4 (x 1,000)","20.1"
,,,"25 to 54 years","2010","12,431.9 (x 1,000)","11,560.0 (x 1,000)","871.9 (x 1,000)","7.0"
,,,,"2011","12,450.3 (x 1,000)","11,659.5 (x 1,000)","790.8 (x 1,000)","6.4"
,,,,"2012","12,504.7 (x 1,000)","11,738.3 (x 1,000)","766.4 (x 1,000)","6.1"
,,,,"2013","12,531.4 (x 1,000)","11,785.6 (x 1,000)","745.8 (x 1,000)","6.0"
,,,,"2014","12,484.2 (x 1,000)","11,756.2 (x 1,000)","728.0 (x 1,000)","5.8"
,,,,"2015","12,512.7 (x 1,000)","11,775.3 (x 1,000)","737.4 (x 1,000)","5.9"
,,,,"2016","12,539.0 (x 1,000)","11,781.4 (x 1,000)","757.5 (x 1,000)","6.0"
,,,,"2017","12,634.6 (x 1,000)","11,942.4 (x 1,000)","692.3 (x 1,000)","5.5"
,,,,"2018","12,713.3 (x 1,000)","12,078.2 (x 1,000)","635.2 (x 1,000)","5.0"
,,,,"2019","12,897.4 (x 1,000)","12,283.5 (x 1,000)","613.9 (x 1,000)","4.8"
,,,,"2020","12,807.8 (x 1,000)","11,809.6 (x 1,000)","998.2 (x 1,000)","7.8"
,,,"55 years and over","2010","3,072.8 (x 1,000)","2,875.3 (x 1,000)","197.4 (x 1,000)","6.4"
,,,,"2011","3,215.6 (x 1,000)","3,009.0 (x 1,000)","206.6 (x 1,000)","6.4"
,,,,"2012","3,360.8 (x 1,000)","3,157.9 (x 1,000)","202.8 (x 1,000)","6.0"
,,,,"2013","3,527.3 (x 1,000)","3,312.5 (x 1,000)","214.8 (x 1,000)","6.1"
,,,,"2014","3,645.7 (x 1,000)","3,431.2 (x 1,000)","214.5 (x 1,000)","5.9"
,,,,"2015","3,768.0 (x 1,000)","3,544.9 (x 1,000)","223.1 (x 1,000)","5.9"
,,,,"2016","3,936.5 (x 1,000)","3,694.4 (x 1,000)","242.2 (x 1,000)","6.2"
,,,,"2017","4,065.8 (x 1,000)","3,832.6 (x 1,000)","233.2 (x 1,000)","5.7"
,,,,"2018","4,167.7 (x 1,000)","3,948.7 (x 1,000)","219.0 (x 1,000)","5.3"
,,,,"2019","4,332.4 (x 1,000)","4,111.4 (x 1,000)","221.0 (x 1,000)","5.1"
,,,,"2020","4,313.3 (x 1,000)","3,971.5 (x 1,000)","341.8 (x 1,000)","7.9"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","4,035.5 (x 1,000)","3,728.0 (x 1,000)","307.5 (x 1,000)","7.6"
,,,,"2011","4,065.6 (x 1,000)","3,799.3 (x 1,000)","266.2 (x 1,000)","6.5"
,,,,"2012","4,117.9 (x 1,000)","3,865.5 (x 1,000)","252.4 (x 1,000)","6.1"
,,,,"2013","4,146.5 (x 1,000)","3,885.5 (x 1,000)","261.0 (x 1,000)","6.3"
,,,,"2014","4,123.2 (x 1,000)","3,870.3 (x 1,000)","253.0 (x 1,000)","6.1"
,,,,"2015","4,128.0 (x 1,000)","3,851.2 (x 1,000)","276.7 (x 1,000)","6.7"
,,,,"2016","4,108.6 (x 1,000)","3,830.3 (x 1,000)","278.3 (x 1,000)","6.8"
,,,,"2017","4,108.1 (x 1,000)","3,879.5 (x 1,000)","228.6 (x 1,000)","5.6"
,,,,"2018","4,156.0 (x 1,000)","3,949.8 (x 1,000)","206.3 (x 1,000)","5.0"
,,,,"2019","4,190.7 (x 1,000)","3,974.9 (x 1,000)","215.8 (x 1,000)","5.1"
,,,,"2020","4,100.9 (x 1,000)","3,770.8 (x 1,000)","330.1 (x 1,000)","8.0"
,,,"15 to 24 years","2010","444.0 (x 1,000)","387.0 (x 1,000)","57.0 (x 1,000)","12.8"
,,,,"2011","455.2 (x 1,000)","401.8 (x 1,000)","53.5 (x 1,000)","11.8"
,,,,"2012","455.6 (x 1,000)","404.3 (x 1,000)","51.3 (x 1,000)","11.3"
,,,,"2013","448.7 (x 1,000)","398.6 (x 1,000)","50.0 (x 1,000)","11.1"
,,,,"2014","451.3 (x 1,000)","402.1 (x 1,000)","49.2 (x 1,000)","10.9"
,,,,"2015","439.7 (x 1,000)","392.7 (x 1,000)","46.9 (x 1,000)","10.7"
,,,,"2016","411.1 (x 1,000)","366.8 (x 1,000)","44.3 (x 1,000)","10.8"
,,,,"2017","425.8 (x 1,000)","386.7 (x 1,000)","39.1 (x 1,000)","9.2"
,,,,"2018","434.1 (x 1,000)","397.7 (x 1,000)","36.4 (x 1,000)","8.4"
,,,,"2019","414.3 (x 1,000)","375.6 (x 1,000)","38.8 (x 1,000)","9.4"
,,,,"2020","391.2 (x 1,000)","339.2 (x 1,000)","52.1 (x 1,000)","13.3"
,,,"25 to 54 years","2010","2,916.3 (x 1,000)","2,710.3 (x 1,000)","206.0 (x 1,000)","7.1"
,,,,"2011","2,903.2 (x 1,000)","2,732.5 (x 1,000)","170.7 (x 1,000)","5.9"
,,,,"2012","2,921.3 (x 1,000)","2,761.1 (x 1,000)","160.1 (x 1,000)","5.5"
,,,,"2013","2,896.3 (x 1,000)","2,733.8 (x 1,000)","162.5 (x 1,000)","5.6"
,,,,"2014","2,849.2 (x 1,000)","2,694.9 (x 1,000)","154.4 (x 1,000)","5.4"
,,,,"2015","2,821.5 (x 1,000)","2,647.6 (x 1,000)","174.0 (x 1,000)","6.2"
,,,,"2016","2,799.7 (x 1,000)","2,623.6 (x 1,000)","176.1 (x 1,000)","6.3"
,,,,"2017","2,754.3 (x 1,000)","2,614.3 (x 1,000)","140.0 (x 1,000)","5.1"
,,,,"2018","2,776.1 (x 1,000)","2,654.4 (x 1,000)","121.7 (x 1,000)","4.4"
,,,,"2019","2,782.0 (x 1,000)","2,652.8 (x 1,000)","129.1 (x 1,000)","4.6"
,,,,"2020","2,726.9 (x 1,000)","2,525.0 (x 1,000)","201.9 (x 1,000)","7.4"
,,,"55 years and over","2010","675.3 (x 1,000)","630.7 (x 1,000)","44.5 (x 1,000)","6.6"
,,,,"2011","707.1 (x 1,000)","665.1 (x 1,000)","42.1 (x 1,000)","6.0"
,,,,"2012","741.0 (x 1,000)","700.1 (x 1,000)","40.9 (x 1,000)","5.5"
,,,,"2013","801.6 (x 1,000)","753.0 (x 1,000)","48.6 (x 1,000)","6.1"
,,,,"2014","822.7 (x 1,000)","773.3 (x 1,000)","49.4 (x 1,000)","6.0"
,,,,"2015","866.8 (x 1,000)","810.9 (x 1,000)","55.9 (x 1,000)","6.4"
,,,,"2016","897.8 (x 1,000)","840.0 (x 1,000)","57.8 (x 1,000)","6.4"
,,,,"2017","928.1 (x 1,000)","878.5 (x 1,000)","49.5 (x 1,000)","5.3"
,,,,"2018","945.8 (x 1,000)","897.7 (x 1,000)","48.2 (x 1,000)","5.1"
,,,,"2019","994.5 (x 1,000)","946.5 (x 1,000)","48.0 (x 1,000)","4.8"
,,,,"2020","982.8 (x 1,000)","906.5 (x 1,000)","76.2 (x 1,000)","7.8"
,"Services-producing sector 10","Both sexes","15 years and over","2010","13,829.9 (x 1,000)","13,179.3 (x 1,000)","650.6 (x 1,000)","4.7"
,,,,"2011","13,962.5 (x 1,000)","13,372.4 (x 1,000)","590.2 (x 1,000)","4.2"
,,,,"2012","14,084.6 (x 1,000)","13,497.4 (x 1,000)","587.2 (x 1,000)","4.2"
,,,,"2013","14,270.3 (x 1,000)","13,699.6 (x 1,000)","570.7 (x 1,000)","4.0"
,,,,"2014","14,368.3 (x 1,000)","13,806.9 (x 1,000)","561.4 (x 1,000)","3.9"
,,,,"2015","14,504.3 (x 1,000)","13,942.8 (x 1,000)","561.5 (x 1,000)","3.9"
,,,,"2016","14,655.8 (x 1,000)","14,081.2 (x 1,000)","574.5 (x 1,000)","3.9"
,,,,"2017","14,919.6 (x 1,000)","14,401.6 (x 1,000)","518.1 (x 1,000)","3.5"
,,,,"2018","15,112.6 (x 1,000)","14,618.2 (x 1,000)","494.4 (x 1,000)","3.3"
,,,,"2019","15,520.1 (x 1,000)","15,010.7 (x 1,000)","509.4 (x 1,000)","3.3"
,,,,"2020","15,314.4 (x 1,000)","14,228.5 (x 1,000)","1,085.9 (x 1,000)","7.1"
,,,"15 to 24 years","2010","2,285.4 (x 1,000)","2,084.9 (x 1,000)","200.5 (x 1,000)","8.8"
,,,,"2011","2,280.4 (x 1,000)","2,101.4 (x 1,000)","179.0 (x 1,000)","7.8"
,,,,"2012","2,244.7 (x 1,000)","2,062.4 (x 1,000)","182.3 (x 1,000)","8.1"
,,,,"2013","2,259.1 (x 1,000)","2,088.4 (x 1,000)","170.7 (x 1,000)","7.6"
,,,,"2014","2,252.4 (x 1,000)","2,087.7 (x 1,000)","164.7 (x 1,000)","7.3"
,,,,"2015","2,246.8 (x 1,000)","2,081.1 (x 1,000)","165.7 (x 1,000)","7.4"
,,,,"2016","2,225.0 (x 1,000)","2,069.0 (x 1,000)","156.0 (x 1,000)","7.0"
,,,,"2017","2,261.0 (x 1,000)","2,119.4 (x 1,000)","141.6 (x 1,000)","6.3"
,,,,"2018","2,280.7 (x 1,000)","2,143.4 (x 1,000)","137.3 (x 1,000)","6.0"
,,,,"2019","2,359.3 (x 1,000)","2,215.1 (x 1,000)","144.1 (x 1,000)","6.1"
,,,,"2020","2,199.0 (x 1,000)","1,878.9 (x 1,000)","320.0 (x 1,000)","14.6"
,,,"25 to 54 years","2010","9,221.8 (x 1,000)","8,849.7 (x 1,000)","372.1 (x 1,000)","4.0"
,,,,"2011","9,255.4 (x 1,000)","8,927.0 (x 1,000)","328.4 (x 1,000)","3.5"
