"Population estimates on July 1st, by age and sex" 1 2 3 4
"Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Geography: Canada, Province or territory"

"","","Both sexes"
"Geography","Reference period","All ages"
"",,"Persons"
"Canada","2010","34,004,889"
,"2011","34,339,328"
,"2012","34,714,222"
,"2013","35,082,954"
,"2014","35,437,435"
,"2015","35,702,908"
,"2016","36,109,487"
,"2017","36,545,295"
,"2018","37,065,178"
,"2019","37,593,384"
,"2020","38,005,238"
"Newfoundland and Labrador","2010","522,009"
,"2011","524,999"
,"2012","526,345"
,"2013","527,114"
,"2014","528,159"
,"2015","528,117"
,"2016","529,426"
,"2017","528,249"
,"2018","525,560"
,"2019","523,476"
,"2020","522,103"
"Prince Edward Island","2010","141,654"
,"2011","143,963"
,"2012","144,530"
,"2013","144,094"
,"2014","144,283"
,"2015","144,546"
,"2016","146,969"
,"2017","150,402"
,"2018","153,396"
,"2019","157,262"
,"2020","159,625"
"Nova Scotia","2010","942,107"
,"2011","944,274"
,"2012","943,635"
,"2013","940,434"
,"2014","938,545"
,"2015","936,525"
,"2016","942,790"
,"2017","950,108"
,"2018","958,406"
,"2019","969,747"
,"2020","979,351"
"New Brunswick","2010","753,035"
,"2011","755,705"
,"2012","758,378"
,"2013","758,544"
,"2014","758,976"
,"2015","758,842"
,"2016","763,350"
,"2017","766,621"
,"2018","770,301"
,"2019","776,868"
,"2020","781,476"
"Quebec","2010","7,929,222"
,"2011","8,005,090"
,"2012","8,061,101"
,"2013","8,110,880"
,"2014","8,150,183"
,"2015","8,175,272"
,"2016","8,225,950"
,"2017","8,302,063"
,"2018","8,401,738"
,"2019","8,501,703"
,"2020","8,574,571"
"Ontario","2010","13,135,778"
,"2011","13,261,381"
,"2012","13,390,632"
,"2013","13,510,781"
,"2014","13,617,553"
,"2015","13,707,118"
,"2016","13,875,394"
,"2017","14,070,141"
,"2018","14,308,697"
,"2019","14,544,718"
,"2020","14,734,014"
"Manitoba","2010","1,220,780"
,"2011","1,233,649"
,"2012","1,249,975"
,"2013","1,264,620"
,"2014","1,279,014"
,"2015","1,292,227"
,"2016","1,314,139"
,"2017","1,334,790"
,"2018","1,352,825"
,"2019","1,369,540"
,"2020","1,379,263"
"Saskatchewan","2010","1,051,443"
,"2011","1,066,026"
,"2012","1,083,755"
,"2013","1,099,736"
,"2014","1,112,979"
,"2015","1,120,967"
,"2016","1,135,987"
,"2017","1,150,331"
,"2018","1,161,767"
,"2019","1,172,302"
,"2020","1,178,681"
"Alberta","2010","3,732,082"
,"2011","3,789,030"
,"2012","3,874,548"
,"2013","3,981,011"
,"2014","4,083,648"
,"2015","4,144,491"
,"2016","4,196,061"
,"2017","4,241,100"
,"2018","4,298,275"
,"2019","4,361,694"
,"2020","4,421,876"
"British Columbia","2010","4,465,546"
,"2011","4,502,104"
,"2012","4,566,769"
,"2013","4,630,077"
,"2014","4,707,103"
,"2015","4,776,388"
,"2016","4,859,250"
,"2017","4,929,384"
,"2018","5,010,476"
,"2019","5,090,955"
,"2020","5,147,712"
"Yukon","2010","34,596"
,"2011","35,411"
,"2012","36,234"
,"2013","36,521"
,"2014","37,137"
,"2015","37,690"
,"2016","38,547"
,"2017","39,669"
,"2018","40,613"
,"2019","41,477"
,"2020","42,052"
"Northwest Territories including Nunavut (Terminated) 6","2010",".."
,"2011",".."
,"2012",".."
,"2013",".."
,"2014",".."
,"2015",".."
,"2016",".."
,"2017",".."
,"2018",".."
,"2019",".."
,"2020",".."
"Northwest Territories 7 (map)","2010","43,285"
,"2011","43,504"
,"2012","43,648"
,"2013","43,805"
,"2014","43,884"
,"2015","44,237"
,"2016","44,649"
,"2017","44,891"
,"2018","44,981"
,"2019","45,028"
,"2020","45,161"
"Nunavut 7 (map)","2010","33,352"
,"2011","34,192"
,"2012","34,672"
,"2013","35,337"
,"2014","35,971"
,"2015","36,488"
,"2016","36,975"
,"2017","37,546"
,"2018","38,143"
,"2019","38,614"
,"2020","39,353"

Symbol legend:
..,not available for a specific reference period,

Footnotes:
1,Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including (IEIR) and postcensal estimates.
2,"Estimates are final intercensal up to 2015, final postcensal from 2016 to 2018, updated postcensal for 2019 and preliminary postcensal for 2020."
3,Data for persons aged 90 to 100 years and over will be available from 2001.
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,Age at last birthday in years.
6,Population estimates for Northwest Territories and Nunavut are presented separately from 1991.
7,"Prior to 1991, only estimates of population for Northwest Territories and Nunavut combined are available."

"How to cite: Statistics Canada. Table 17-10-0005-01 Population estimates on July 1st, by age and sex"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
DOI: https://doi.org/10.25318/1710000501-eng
