Geography,Year,All industries,Goods-producing sector,Service-producing sector
Canada,2010,852.44,1072.67,803.01
Canada,2011,873.64,1102.8,821.37
Canada,2012,895.57,1143.25,838.56
Canada,2013,911.44,1173.32,851.38
Canada,2014,935.52,1217.28,871.28
Canada,2015,952.06,1221.8,891.51
Canada,2016,956.62,1225.52,898.01
Canada,2017,976.01,1236.79,918.83
Canada,2018,1001.28,1253.19,945.74
Canada,2019,1028.5,1288.17,971.71
Newfoundland and Labrador,2010,836.63,1016.65,802.79
Newfoundland and Labrador,2011,879.0,1064.8,843.31
Newfoundland and Labrador,2012,926.66,1189.89,872.54
Newfoundland and Labrador,2013,952.43,1275.73,879.82
Newfoundland and Labrador,2014,994.51,1385.6,905.05
Newfoundland and Labrador,2015,1020.74,1407.57,927.76
Newfoundland and Labrador,2016,1017.28,1453.81,919.52
Newfoundland and Labrador,2017,1034.65,1478.9,941.18
Newfoundland and Labrador,2018,1037.82,1413.21,964.84
Newfoundland and Labrador,2019,1060.11,1480.84,975.05
Prince Edward Island,2010,706.38,769.57,695.09
Prince Edward Island,2011,719.33,805.18,704.39
Prince Edward Island,2012,738.35,838.14,720.87
Prince Edward Island,2013,752.29,825.76,739.98
Prince Edward Island,2014,773.62,834.58,763.93
Prince Edward Island,2015,800.02,895.14,784.41
Prince Edward Island,2016,817.67,953.83,794.99
Prince Edward Island,2017,820.95,946.43,799.53
Prince Edward Island,2018,841.2,953.77,821.6
Prince Edward Island,2019,866.91,987.13,845.98
Nova Scotia,2010,758.25,921.81,728.96
Nova Scotia,2011,765.71,928.03,736.88
Nova Scotia,2012,788.5,938.75,762.54
Nova Scotia,2013,797.54,952.04,770.65
Nova Scotia,2014,820.02,988.84,791.52
Nova Scotia,2015,835.16,1002.32,806.6
Nova Scotia,2016,847.82,1004.94,821.24
Nova Scotia,2017,861.41,1025.43,832.99
Nova Scotia,2018,871.85,1040.77,842.18
Nova Scotia,2019,905.04,1088.42,873.0
New Brunswick,2010,760.48,910.55,726.07
New Brunswick,2011,787.29,936.76,753.23
New Brunswick,2012,806.66,958.06,772.64
New Brunswick,2013,804.53,956.46,771.17
New Brunswick,2014,831.98,974.72,800.88
New Brunswick,2015,855.25,1001.93,822.77
New Brunswick,2016,874.78,1023.1,842.34
New Brunswick,2017,886.82,1058.94,849.04
New Brunswick,2018,912.1,1046.73,882.59
New Brunswick,2019,941.57,1092.33,908.51
Quebec,2010,784.3,966.92,740.75
Quebec,2011,803.86,997.54,757.4
Quebec,2012,823.01,1029.69,773.24
Quebec,2013,832.67,1039.67,784.17
Quebec,2014,849.68,1062.43,800.6
Quebec,2015,867.6,1071.84,821.09
Quebec,2016,878.48,1087.29,830.9
Quebec,2017,903.06,1105.36,856.44
Quebec,2018,931.91,1126.96,886.28
Quebec,2019,965.08,1167.93,917.16
Ontario,2010,881.36,1054.71,843.39
Ontario,2011,893.4,1069.07,854.52
Ontario,2012,906.07,1094.99,864.24
Ontario,2013,919.91,1114.45,877.35
Ontario,2014,938.16,1147.37,893.1
Ontario,2015,962.75,1173.24,917.37
Ontario,2016,973.7,1185.93,928.61
Ontario,2017,992.46,1195.23,949.33
Ontario,2018,1021.38,1212.57,980.33
Ontario,2019,1049.51,1252.43,1006.41
Manitoba,2010,781.69,939.29,750.95
Manitoba,2011,801.73,975.57,767.17
Manitoba,2012,823.71,1008.17,787.29
Manitoba,2013,828.33,1023.85,790.0
Manitoba,2014,863.27,1067.05,821.39
Manitoba,2015,880.11,1090.89,836.89
Manitoba,2016,888.31,1107.03,844.99
Manitoba,2017,910.43,1153.76,862.54
Manitoba,2018,936.85,1176.72,889.15
Manitoba,2019,953.81,1199.49,904.5
Saskatchewan,2010,843.96,1177.69,780.22
Saskatchewan,2011,876.04,1218.6,807.43
Saskatchewan,2012,918.72,1300.98,838.85
Saskatchewan,2013,946.24,1332.29,860.9
Saskatchewan,2014,974.52,1405.23,880.66
Saskatchewan,2015,979.7,1390.91,893.89
Saskatchewan,2016,987.3,1403.17,905.19
Saskatchewan,2017,1008.89,1424.55,926.94
Saskatchewan,2018,1014.12,1431.52,933.36
Saskatchewan,2019,1041.0,1480.35,956.32
Alberta,2010,990.34,1392.19,870.19
Alberta,2011,1033.73,1439.79,908.36
Alberta,2012,1069.56,1494.0,935.18
Alberta,2013,1107.4,1556.78,961.03
Alberta,2014,1149.18,1637.13,987.97
Alberta,2015,1145.4,1611.6,1002.13
Alberta,2016,1118.14,1616.51,980.5
Alberta,2017,1129.87,1595.29,999.63
Alberta,2018,1148.59,1607.15,1021.86
Alberta,2019,1164.7,1630.64,1041.84
British Columbia,2010,818.25,1016.36,781.47
British Columbia,2011,841.38,1049.5,801.48
British Columbia,2012,866.57,1093.47,822.52
British Columbia,2013,875.88,1122.26,828.08
British Columbia,2014,897.04,1147.01,848.92
British Columbia,2015,910.91,1151.35,864.66
British Columbia,2016,920.34,1157.64,875.41
British Columbia,2017,943.47,1190.38,895.98
British Columbia,2018,969.04,1229.12,918.49
British Columbia,2019,997.72,1264.91,945.92
