Geography,Industry,Year,Industry GDP (current C$),Industry GDP (2012 chained C$)
Newfoundland and Labrador,All industries,2010,27183.0,30474.4
Newfoundland and Labrador,All industries,2011,31614.0,31375.5
Newfoundland and Labrador,All industries,2012,29977.1,29977.2
Newfoundland and Labrador,All industries,2013,32403.8,31486.3
Newfoundland and Labrador,All industries,2014,32136.7,31143.3
Newfoundland and Labrador,All industries,2015,28924.4,30806.0
Newfoundland and Labrador,All industries,2016,29005.2,31282.0
Newfoundland and Labrador,All industries,2017,31002.6,31674.0
Newfoundland and Labrador,All industries,2018,0.0,30568.6
Newfoundland and Labrador,All industries,2019,0.0,31802.5
Newfoundland and Labrador,Goods-producing industries,2010,13734.1,16048.3
Newfoundland and Labrador,Goods-producing industries,2011,17166.2,16447.7
Newfoundland and Labrador,Goods-producing industries,2012,14709.0,14709.0
Newfoundland and Labrador,Goods-producing industries,2013,16611.3,16022.7
Newfoundland and Labrador,Goods-producing industries,2014,15821.7,15384.9
Newfoundland and Labrador,Goods-producing industries,2015,12125.7,14913.2
Newfoundland and Labrador,Goods-producing industries,2016,11866.6,15333.4
Newfoundland and Labrador,Goods-producing industries,2017,13601.8,15635.7
Newfoundland and Labrador,Goods-producing industries,2018,0.0,14359.9
Newfoundland and Labrador,Goods-producing industries,2019,0.0,15497.6
Newfoundland and Labrador,Service-producing industries,2010,13449.0,14415.4
Newfoundland and Labrador,Service-producing industries,2011,14447.8,14917.0
Newfoundland and Labrador,Service-producing industries,2012,15268.1,15268.1
Newfoundland and Labrador,Service-producing industries,2013,15792.5,15482.4
Newfoundland and Labrador,Service-producing industries,2014,16315.1,15767.0
Newfoundland and Labrador,Service-producing industries,2015,16798.7,15875.5
Newfoundland and Labrador,Service-producing industries,2016,17138.6,15977.6
Newfoundland and Labrador,Service-producing industries,2017,17400.8,16092.1
Newfoundland and Labrador,Service-producing industries,2018,0.0,16142.7
Newfoundland and Labrador,Service-producing industries,2019,0.0,16310.5
