Geography,Industry,Age group,Year,Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate
Canada,All industries,15 years and over,2010,18400.0,16907.3,1492.7,0.081125
Canada,All industries,15 years and over,2011,18574.7,17171.7,1403.0,0.07553284844438941
Canada,All industries,15 years and over,2012,18737.4,17362.9,1374.5,0.07335596187304534
Canada,All industries,15 years and over,2013,18932.6,17585.1,1347.5,0.07117353136917276
Canada,All industries,15 years and over,2014,18997.5,17677.2,1320.3,0.069498618239242
Canada,All industries,15 years and over,2015,19120.7,17794.0,1326.7,0.06938553504840304
Canada,All industries,15 years and over,2016,19270.3,17911.6,1358.7,0.07050746485524356
Canada,All industries,15 years and over,2017,19530.3,18281.1,1249.2,0.06396215111903043
Canada,All industries,15 years and over,2018,19732.0,18568.0,1164.0,0.05899047232921143
Canada,All industries,15 years and over,2019,20139.7,18985.6,1154.2,0.05730969180275774
Canada,All industries,15 years and over,2020,19896.6,17999.2,1897.4,0.09536302684880835
Canada,All industries,15 to 24 years,2010,2895.3,2472.0,423.3,0.14620246606569268
Canada,All industries,15 to 24 years,2011,2908.8,2503.2,405.6,0.13943894389438943
Canada,All industries,15 to 24 years,2012,2872.0,2466.7,405.3,0.14112116991643456
Canada,All industries,15 to 24 years,2013,2873.9,2487.0,386.9,0.13462542190055324
Canada,All industries,15 to 24 years,2014,2867.6,2489.7,377.9,0.1317826754080067
Canada,All industries,15 to 24 years,2015,2840.0,2473.8,366.2,0.128943661971831
Canada,All industries,15 to 24 years,2016,2794.8,2435.8,359.0,0.12845284099041077
Canada,All industries,15 to 24 years,2017,2829.8,2506.1,323.7,0.11438970952010742
Canada,All industries,15 to 24 years,2018,2851.0,2541.2,309.8,0.10866362679761488
Canada,All industries,15 to 24 years,2019,2910.0,2590.7,319.3,0.10972508591065293
Canada,All industries,15 to 24 years,2020,2775.5,2218.1,557.4,0.2008286795172041
Canada,All industries,25 to 54 years,2010,12431.9,11560.0,871.9,0.07013409052518119
Canada,All industries,25 to 54 years,2011,12450.3,11659.5,790.8,0.06351654177007783
Canada,All industries,25 to 54 years,2012,12504.7,11738.3,766.4,0.06128895535278735
Canada,All industries,25 to 54 years,2013,12531.4,11785.6,745.8,0.05951449957706242
Canada,All industries,25 to 54 years,2014,12484.2,11756.2,728.0,0.058313708527578854
Canada,All industries,25 to 54 years,2015,12512.7,11775.3,737.4,0.05893212496103958
Canada,All industries,25 to 54 years,2016,12539.0,11781.4,757.5,0.06041151606986203
Canada,All industries,25 to 54 years,2017,12634.6,11942.4,692.3,0.05479397844015639
Canada,All industries,25 to 54 years,2018,12713.3,12078.2,635.2,0.049963424130634856
Canada,All industries,25 to 54 years,2019,12897.4,12283.5,613.9,0.047598740831485416
Canada,All industries,25 to 54 years,2020,12807.8,11809.6,998.2,0.07793688221240183
Canada,All industries,55 years and over,2010,3072.8,2875.3,197.4,0.06424108305128873
Canada,All industries,55 years and over,2011,3215.6,3009.0,206.6,0.06424928473690758
Canada,All industries,55 years and over,2012,3360.8,3157.9,202.8,0.0603427755296358
Canada,All industries,55 years and over,2013,3527.3,3312.5,214.8,0.06089643636776004
Canada,All industries,55 years and over,2014,3645.7,3431.2,214.5,0.058836437446855204
Canada,All industries,55 years and over,2015,3768.0,3544.9,223.1,0.05920912951167728
Canada,All industries,55 years and over,2016,3936.5,3694.4,242.2,0.06152673694906643
Canada,All industries,55 years and over,2017,4065.8,3832.6,233.2,0.05735648580845098
Canada,All industries,55 years and over,2018,4167.7,3948.7,219.0,0.052546968351848744
Canada,All industries,55 years and over,2019,4332.4,4111.4,221.0,0.051010986981811474
Canada,All industries,55 years and over,2020,4313.3,3971.5,341.8,0.07924327081353025
Canada,Goods-producing sector,15 years and over,2010,4035.5,3728.0,307.5,0.07619873621608227
Canada,Goods-producing sector,15 years and over,2011,4065.6,3799.3,266.2,0.06547619047619048
Canada,Goods-producing sector,15 years and over,2012,4117.9,3865.5,252.4,0.06129337769251318
Canada,Goods-producing sector,15 years and over,2013,4146.5,3885.5,261.0,0.06294465211624262
Canada,Goods-producing sector,15 years and over,2014,4123.2,3870.3,253.0,0.061360108653473036
Canada,Goods-producing sector,15 years and over,2015,4128.0,3851.2,276.7,0.06703003875968992
Canada,Goods-producing sector,15 years and over,2016,4108.6,3830.3,278.3,0.0677359684564085
Canada,Goods-producing sector,15 years and over,2017,4108.1,3879.5,228.6,0.05564616245953116
Canada,Goods-producing sector,15 years and over,2018,4156.0,3949.8,206.3,0.049639076034648705
Canada,Goods-producing sector,15 years and over,2019,4190.7,3974.9,215.8,0.05149497697282077
Canada,Goods-producing sector,15 years and over,2020,4100.9,3770.8,330.1,0.08049452559194324
Canada,Goods-producing sector,15 to 24 years,2010,444.0,387.0,57.0,0.12837837837837837
